iter	Passed	Remaining
0	14	14481
1	22	11403
2	32	10700
3	40	10072
4	58	11560
5	71	11842
6	87	12368
7	104	12923
8	121	13348
9	133	13187
10	200	18063
11	230	18972
12	282	21414
13	316	22272
14	325	21396
15	338	20820
16	350	20257
17	365	19943
18	376	19441
19	382	18757
20	391	18266
21	407	18115
22	420	17858
23	435	17729
24	451	17606
25	466	17480
26	476	17163
27	491	17069
28	501	16807
29	527	17060
30	543	17000
31	558	16903
32	566	16612
33	582	16547
34	590	16274
35	605	16205
36	620	16161
37	638	16161
38	655	16154
39	674	16190
40	704	16482
41	709	16176
42	725	16135
43	733	15934
44	741	15736
45	756	15689
46	771	15648
47	787	15616
48	797	15481
49	813	15450
50	831	15480
51	844	15392
52	857	15325
53	873	15294
54	881	15145
55	896	15110
56	911	15086
57	927	15069
58	944	15057
59	957	14993
60	975	15010
61	990	14988
62	1006	14967
63	1021	14945
64	1037	14923
65	1053	14909
66	1068	14884
67	1084	14862
68	1100	14842
69	1127	14973
70	1149	15034
71	1169	15075
72	1186	15062
73	1201	15039
74	1218	15034
75	1225	14901
76	1240	14875
77	1256	14856
78	1272	14829
79	1283	14763
80	1289	14635
81	1308	14651
82	1318	14567
83	1334	14553
84	1349	14527
85	1366	14518
86	1382	14504
87	1388	14389
88	1403	14367
89	1412	14286
90	1428	14269
91	1434	14162
92	1449	14136
93	1455	14030
94	1469	13995
95	1485	13984
96	1500	13967
97	1515	13947
98	1528	13913
99	1535	13816
100	1549	13796
101	1563	13765
102	1580	13763
103	1596	13750
104	1615	13767
105	1624	13704
106	1639	13681
107	1654	13661
108	1663	13597
109	1669	13508
110	1686	13504
111	1707	13537
112	1737	13637
113	1757	13658
114	1773	13646
115	1788	13631
116	1795	13550
117	1811	13541
118	1826	13524
119	1841	13506
120	1854	13473
121	1870	13460
122	1885	13440
123	1897	13408
124	1914	13399
125	1927	13371
126	1942	13354
127	1956	13328
128	1963	13254
129	1979	13244
130	1986	13180
131	1997	13131
132	2013	13122
133	2028	13107
134	2043	13090
135	2058	13076
136	2073	13062
137	2091	13064
138	2097	12994
139	2112	12979
140	2129	12971
141	2145	12963
142	2168	12996
143	2191	13028
144	2207	13015
145	2227	13028
146	2242	13013
147	2257	12998
148	2266	12942
149	2282	12932
150	2292	12891
151	2297	12818
152	2313	12804
153	2329	12799
154	2344	12779
155	2359	12765
156	2378	12772
157	2385	12710
158	2400	12695
159	2408	12644
160	2416	12590
161	2432	12581
162	2448	12570
163	2463	12559
164	2478	12543
165	2494	12533
166	2509	12516
167	2522	12490
168	2537	12478
169	2552	12463
170	2567	12449
171	2579	12417
172	2595	12407
173	2611	12395
174	2628	12391
175	2644	12380
176	2650	12326
177	2659	12283
178	2669	12245
179	2685	12233
180	2700	12218
181	2715	12203
182	2724	12162
183	2744	12172
184	2775	12227
185	2791	12216
186	2799	12172
187	2817	12167
188	2832	12155
189	2840	12108
190	2856	12097
191	2870	12081
192	2885	12066
193	2901	12056
194	2917	12045
195	2932	12030
196	2948	12019
197	2964	12008
198	2980	11995
199	2988	11954
200	3004	11941
201	3012	11901
202	3027	11887
203	3045	11884
204	3062	11875
205	3077	11861
206	3093	11850
207	3110	11842
208	3124	11826
209	3140	11812
210	3152	11789
211	3162	11753
212	3177	11739
213	3197	11744
214	3218	11752
215	3232	11732
216	3251	11731
217	3262	11701
218	3282	11704
219	3289	11661
220	3301	11636
221	3309	11598
222	3316	11555
223	3330	11537
224	3350	11540
225	3367	11533
226	3383	11523
227	3399	11512
228	3415	11498
229	3429	11480
230	3443	11462
231	3458	11449
232	3475	11440
233	3494	11437
234	3503	11404
235	3520	11396
236	3537	11390
237	3553	11377
238	3569	11364
239	3585	11354
240	3601	11342
241	3607	11300
242	3623	11286
243	3632	11254
244	3638	11213
245	3654	11201
246	3670	11188
247	3687	11182
248	3704	11172
249	3719	11157
250	3732	11137
251	3744	11115
252	3760	11102
253	3778	11097
254	3812	11137
255	3830	11132
256	3838	11096
257	3849	11070
258	3855	11031
259	3870	11016
260	3885	11002
261	3901	10989
262	3917	10977
263	3924	10941
264	3939	10926
265	3954	10911
266	3969	10898
267	3989	10896
268	4005	10884
269	4020	10871
270	4036	10858
271	4051	10844
272	4067	10831
273	4082	10818
274	4093	10790
275	4109	10780
276	4125	10769
277	4144	10763
278	4160	10751
279	4175	10736
280	4190	10722
281	4205	10708
282	4223	10701
283	4245	10702
284	4274	10722
285	4293	10718
286	4308	10703
287	4324	10692
288	4333	10660
289	4348	10647
290	4364	10633
291	4379	10619
292	4395	10605
293	4410	10590
294	4429	10586
295	4452	10589
296	4466	10571
297	4481	10556
298	4496	10542
299	4511	10526
300	4527	10513
301	4543	10501
302	4559	10487
303	4577	10480
304	4592	10465
305	4607	10450
306	4623	10436
307	4634	10413
308	4651	10401
309	4666	10386
310	4682	10374
311	4698	10361
312	4714	10347
313	4733	10340
314	4749	10328
315	4765	10315
316	4781	10303
317	4794	10282
318	4814	10278
319	4849	10305
320	4896	10356
321	4911	10341
322	4931	10335
323	4947	10322
324	4965	10312
325	4984	10306
326	5000	10290
327	5015	10276
328	5031	10262
329	5048	10250
330	5065	10238
331	5081	10223
332	5096	10207
333	5115	10199
334	5132	10188
335	5148	10174
336	5164	10159
337	5181	10148
