iter	Passed	Remaining
0	18	5504
1	75	11402
2	100	10077
3	136	10236
4	153	9227
5	168	8396
6	176	7529
7	195	7252
8	213	7032
9	231	6839
10	257	6883
11	268	6557
12	283	6369
13	298	6200
14	312	6044
15	328	5936
16	342	5805
17	356	5686
18	373	5629
19	396	5646
20	412	5580
21	417	5365
22	432	5301
23	447	5238
24	462	5178
25	469	5040
26	475	4895
27	488	4828
28	500	4759
29	515	4723
30	532	4710
31	548	4679
32	564	4653
33	579	4620
34	595	4591
35	609	4555
36	623	4517
37	638	4486
38	651	4444
39	666	4412
40	684	4407
41	699	4383
42	714	4350
43	728	4323
44	741	4284
45	758	4271
46	765	4203
47	770	4124
48	787	4116
49	800	4083
50	821	4093
51	843	4102
52	864	4110
53	885	4114
54	905	4114
55	924	4110
56	955	4155
57	980	4174
58	1003	4183
59	1021	4171
60	1041	4166
61	1056	4142
62	1072	4118
63	1086	4091
64	1099	4059
65	1118	4049
66	1134	4031
67	1149	4005
68	1165	3984
69	1178	3956
70	1191	3925
71	1204	3898
72	1219	3876
73	1235	3856
74	1252	3840
75	1259	3794
76	1275	3775
77	1289	3754
78	1306	3736
79	1322	3718
80	1337	3698
81	1352	3677
82	1367	3657
83	1382	3636
84	1394	3608
85	1408	3586
86	1427	3576
87	1444	3561
88	1460	3544
89	1473	3520
90	1489	3501
91	1509	3494
92	1523	3473
93	1540	3457
94	1555	3437
95	1572	3424
96	1587	3403
97	1601	3383
98	1617	3364
99	1632	3347
100	1647	3328
101	1662	3309
102	1678	3291
103	1691	3269
104	1704	3246
105	1723	3236
106	1737	3214
107	1751	3195
108	1768	3180
109	1783	3162
110	1798	3143
111	1812	3124
112	1827	3105
113	1842	3086
114	1859	3072
115	1880	3064
116	1897	3049
117	1913	3032
118	1928	3014
119	1943	2996
120	1961	2982
121	1976	2965
122	1992	2948
123	2007	2930
124	2021	2911
125	2034	2890
126	2049	2871
127	2066	2857
128	2082	2841
129	2097	2824
130	2112	2805
131	2126	2787
132	2141	2769
133	2155	2750
134	2170	2732
135	2184	2714
136	2204	2702
137	2220	2687
138	2235	2670
139	2250	2652
140	2264	2633
141	2278	2615
142	2293	2598
143	2310	2582
144	2324	2565
145	2339	2547
146	2359	2535
147	2374	2519
148	2389	2501
149	2404	2485
150	2421	2469
151	2437	2453
152	2451	2435
153	2468	2420
154	2484	2404
155	2504	2391
156	2519	2375
157	2535	2358
158	2549	2341
159	2563	2323
160	2577	2305
161	2591	2287
162	2606	2270
163	2620	2253
164	2637	2237
165	2655	2223
166	2670	2206
167	2685	2190
168	2701	2173
169	2715	2156
170	2730	2139
171	2744	2121
172	2760	2106
173	2773	2088
174	2788	2071
175	2806	2057
176	2821	2040
177	2835	2023
178	2850	2006
179	2866	1990
180	2883	1975
181	2899	1959
182	2913	1942
183	2929	1926
184	2972	1927
185	2999	1918
186	3028	1911
187	3050	1898
188	3076	1888
189	3101	1877
190	3124	1864
191	3139	1847
192	3153	1830
193	3168	1813
194	3184	1796
195	3200	1780
196	3220	1765
197	3239	1750
198	3263	1738
199	3291	1728
200	3313	1714
201	3333	1699
202	3354	1685
203	3375	1671
204	3390	1654
205	3406	1637
206	3420	1619
207	3436	1602
208	3451	1585
209	3470	1570
210	3489	1554
211	3505	1538
212	3520	1520
213	3541	1505
214	3557	1489
215	3572	1472
216	3587	1454
217	3603	1438
218	3618	1421
219	3634	1404
220	3648	1386
221	3663	1369
222	3677	1352
223	3692	1335
224	3708	1318
225	3722	1301
226	3738	1284
227	3755	1268
228	3770	1251
229	3785	1234
230	3800	1217
231	3815	1200
232	3829	1183
233	3844	1166
234	3861	1150
235	3876	1133
236	3890	1116
237	3908	1100
238	3923	1083
239	3947	1069
240	3967	1053
241	3994	1039
242	4015	1024
243	4031	1007
244	4048	991
245	4065	975
246	4080	958
247	4094	941
248	4109	924
249	4123	907
250	4138	890
251	4152	873
252	4167	856
253	4182	839
254	4201	823
255	4215	806
256	4231	790
257	4245	773
258	4261	756
259	4275	739
260	4290	723
261	4304	706
262	4318	689
263	4333	673
264	4351	656
265	4366	640
266	4383	623
267	4398	607
268	4417	591
269	4443	576
270	4467	560
271	4494	545
272	4517	529
273	4542	513
274	4563	497
275	4591	482
276	4621	467
277	4646	451
278	4662	434
279	4677	417
280	4692	400
281	4707	383
282	4721	367
283	4737	350
284	4751	333
285	4766	316
286	4780	299
287	4800	283
288	4814	266
289	4830	249
290	4845	233
291	4861	216
292	4877	199
293	4892	183
294	4907	166
295	4922	149
296	4942	133
297	4958	116
298	4973	99
299	4988	83
300	5003	66
301	5017	49
302	5031	33
303	5046	16
304	5063	0
